 122   4.91652381e+02  4.66183184e-02  2.49e+02 8.94e-01  1.33e+03  9.53e+02  3.10e+00 2.22e+03 9.53e+02  2.54e-01 8.41e-03   3365s
 123   5.02960477e+02  4.66183184e-02  2.54e+02 8.87e-01  1.32e+03  9.77e+02  3.08e+00 2.26e+03 9.77e+02  2.48e-01 7.93e-03   3394s
 124   5.13903286e+02  4.66183184e-02  2.60e+02 8.80e-01  1.31e+03  1.00e+03  3.06e+00 2.30e+03 1.00e+03  2.42e-01 7.49e-03   3420s
 125   5.24521857e+02  4.66183184e-02  2.65e+02 8.74e-01  1.31e+03  1.02e+03  3.05e+00 2.34e+03 1.02e+03  2.36e-01 7.11e-03   3447s
 126   5.34802920e+02  4.66183184e-02  2.71e+02 8.68e-01  1.30e+03  1.05e+03  3.03e+00 2.37e+03 1.05e+03  2.31e-01 6.73e-03   3475s
 127   5.44785169e+02  4.66183184e-02  2.76e+02 8.62e-01  1.29e+03  1.07e+03  3.01e+00 2.41e+03 1.07e+03  2.26e-01 6.40e-03   3502s
 128   4.28575237e+02  4.38926477e-02  2.17e+02 6.78e-01  1.04e+03  2.52e-01  3.00e+00 2.45e+03 1.09e+03  7.98e-01 2.13e-01   3528s
 129   4.44047024e+02  4.38926477e-02  2.25e+02 6.70e-01  1.02e+03  8.18e+02  3.23e+00 2.84e+03 8.18e+02  3.08e-01 1.31e-02   3554s
 130   4.58934186e+02  4.38926477e-02  2.32e+02 6.61e-01  1.01e+03  8.47e+02  3.20e+00 2.92e+03 8.47e+02  2.98e-01 1.22e-02   3581s
 131   4.73264557e+02  4.38926477e-02  2.40e+02 6.54e-01  1.00e+03  8.75e+02  3.18e+00 2.98e+03 8.75e+02  2.90e-01 1.14e-02   3608s
 132   4.87065430e+02  4.38926477e-02  2.47e+02 6.47e-01  9.93e+02  9.02e+02  3.15e+00 3.05e+03 9.02e+02  2.82e-01 1.06e-02   3634s
 133   5.00376708e+02  4.38926477e-02  2.54e+02 6.40e-01  9.84e+02  9.29e+02  3.13e+00 3.12e+03 9.29e+02  2.74e-01 9.97e-03   3661s
 134   5.13236083e+02  4.38926477e-02  2.60e+02 6.34e-01  9.75e+02  9.55e+02  3.11e+00 3.18e+03 9.55e+02  2.67e-01 9.37e-03   3688s
 135   5.25641828e+02  4.38926477e-02  2.66e+02 6.29e-01  9.68e+02  9.81e+02  3.09e+00 3.24e+03 9.81e+02  2.60e-01 8.81e-03   3714s
