
--------------- Linear optimization problem characteristics ---------------
Seed:                    96
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        8.15e-03
Norm of vector c:        2.81e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.004 +0.015 +0.012 ... +0.006 -0.015 -0.007]
                          [+0.010 +0.007 +0.002 ... +0.000 -0.011 -0.001]]

RHS vector b:            [-0.003 -0.007]
Obj vector c:            [-0.017 -0.034 -0.024 ... -0.011 +0.037 +0.013]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.007 +0.032 +0.028 ... +0.020 +0.025 +0.013]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.779 -0.914]

Optimal objective:       +1.27274194e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.61053148e+01 -2.88476232e-02  2.49e-02 1.32e+01  1.45e+04 *4.44e-16  4.00e+00 1.00e+00 1.45e+00  9.94e-01 9.87e-01     24s
  72   4.91265886e+02  1.68379519e-02  3.10e+02 6.85e-01  9.04e+02  1.71e+03  3.93e+00 4.88e+03 1.71e+03  1.44e-01 2.39e-03   2039s
  73   4.96722968e+02  1.68379519e-02  3.13e+02 6.84e-01  9.02e+02  1.74e+03  3.94e+00 4.95e+03 1.74e+03  1.42e-01 2.31e-03   2069s
  74   5.02105263e+02  1.68379519e-02  3.17e+02 6.82e-01  9.00e+02  1.76e+03  3.96e+00 5.02e+03 1.76e+03  1.40e-01 2.24e-03   2099s
  75   5.07413354e+02  1.68379519e-02  3.20e+02 6.81e-01  8.99e+02  1.79e+03  3.97e+00 5.09e+03 1.79e+03  1.38e-01 2.18e-03   2129s
  76   5.12647843e+02  1.68379519e-02  3.23e+02 6.79e-01  8.97e+02  1.81e+03  3.98e+00 5.16e+03 1.81e+03  1.36e-01 2.11e-03   2159s
  77   5.17809351e+02  1.68379519e-02  3.26e+02 6.78e-01  8.95e+02  1.84e+03  3.99e+00 5.22e+03 1.84e+03  1.34e-01 2.05e-03   2189s
  78   4.68253596e+02  1.63321360e-02  2.95e+02 6.13e-01  8.17e+02  1.03e+00  4.01e+00 5.29e+03 1.86e+03  6.48e-01 9.55e-02   2215s
  79   4.74506557e+02  1.63321360e-02  2.99e+02 6.11e-01  8.15e+02  1.59e+03  3.90e+00 5.19e+03 1.59e+03  1.56e-01 2.93e-03   2245s
  80   4.80549412e+02  1.63321360e-02  3.02e+02 6.10e-01  8.13e+02  1.62e+03  3.92e+00 5.27e+03 1.62e+03  1.54e-01 2.78e-03   2275s
  81   4.86500326e+02  1.63321360e-02  3.06e+02 6.08e-01  8.11e+02  1.64e+03  3.93e+00 5.35e+03 1.64e+03  1.52e-01 2.68e-03   2305s
  82   4.92360076e+02  1.63321360e-02  3.10e+02 6.06e-01  8.09e+02  1.67e+03  3.94e+00 5.43e+03 1.67e+03  1.49e-01 2.60e-03   2335s
  83   4.98135242e+02  1.63321360e-02  3.13e+02 6.05e-01  8.07e+02  1.70e+03  3.95e+00 5.51e+03 1.70e+03  1.47e-01 2.52e-03   2365s
  84   5.03826498e+02  1.63321360e-02  3.16e+02 6.03e-01  8.06e+02  1.72e+03  3.97e+00 5.59e+03 1.72e+03  1.45e-01 2.44e-03   2395s
  85   5.09434540e+02  1.63321360e-02  3.20e+02 6.02e-01  8.04e+02  1.75e+03  3.98e+00 5.67e+03 1.75e+03  1.43e-01 2.36e-03   2425s
  86   5.14960088e+02  1.63321360e-02  3.23e+02 6.01e-01  8.02e+02  1.77e+03  3.99e+00 5.75e+03 1.77e+03  1.41e-01 2.29e-03   2454s
