The algorithm stopped after 112 iterations in 5803.89 seconds.

Primal variables:   [+19.421 +14.708 +19.656 ... +18.939 +19.057 +16.846]
Dual slacks:        [+0.000 +0.001 +0.000 ... +0.000 +0.000 +0.001]
Dual variables:     [+1.419 +1.369]

Primal objective:   -2.67558078e+02
Dual objective:     7.45128346e-04 

Primal residual:    1.89e+02
Dual residual:      5.30e-02
Complementraty:     9.46e+01

Number of Iter:     112
Run time:           5803.89
