
--------------- Linear optimization problem characteristics ---------------
Seed:                    78
Number of variables:     8
Number of constraints:   2

Norm of primal sol:      4.19e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        6.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.228 +0.253 -0.020 +0.268 +0.117 -0.180 +0.153 -0.020]
                          [+0.412 -0.423 +0.365 +0.387 +0.403 +0.413 +0.155 +0.060]]

RHS vector b:            [+1.108 +1.665]
Obj vector c:            [-2.397 -2.416 +0.096 -2.785 +3.559 +1.681 -1.573 +1.420]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.124 +1.757 +2.061 +2.064 +0.000 +1.146 +2.145 +0.000]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +4.844 +0.000 +0.000 +1.237]
Dual variables:           [-9.996 -0.279]

Optimal objective:       -1.15405580e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  79  -2.05624613e+02 -2.82990062e+00  3.26e+01 5.47e+00  1.45e+02  2.12e+02  3.90e+00 5.02e+01 2.12e+02  1.05e-01 1.35e-03      9s
  80  -2.07630670e+02 -2.82990062e+00  3.28e+01 5.46e+00  1.45e+02  2.16e+02  3.92e+00 5.12e+01 2.16e+02  1.04e-01 1.31e-03      9s
  81  -2.09628004e+02 -2.82990062e+00  3.31e+01 5.45e+00  1.45e+02  2.21e+02  3.94e+00 5.22e+01 2.21e+02  1.03e-01 1.28e-03      9s
  82  -2.11614507e+02 -2.82990062e+00  3.33e+01 5.45e+00  1.44e+02  2.25e+02  3.96e+00 5.32e+01 2.25e+02  1.01e-01 1.25e-03      9s
  83  -2.13592045e+02 -2.82990062e+00  3.36e+01 5.44e+00  1.44e+02  2.29e+02  3.98e+00 5.43e+01 2.29e+02  1.00e-01 1.22e-03      9s
  84  -1.92204008e+02 -3.88088038e+00  3.01e+01 4.89e+00  1.31e+02 *6.08e-02  4.00e+00 5.53e+01 2.33e+02  6.75e-01 1.02e-01      9s
  85  -1.94526733e+02 -3.88088038e+00  3.04e+01 4.88e+00  1.31e+02  1.76e+02  3.57e+00 4.77e+01 1.76e+02  1.18e-01 1.84e-03      9s
  86  -1.96714754e+02 -3.88088038e+00  3.07e+01 4.87e+00  1.31e+02  1.80e+02  3.59e+00 4.88e+01 1.80e+02  1.16e-01 1.69e-03     10s
  87  -1.98888982e+02 -3.88088038e+00  3.09e+01 4.86e+00  1.30e+02  1.84e+02  3.61e+00 4.99e+01 1.84e+02  1.15e-01 1.64e-03     10s
  88  -2.01051405e+02 -3.88088038e+00  3.12e+01 4.85e+00  1.30e+02  1.88e+02  3.62e+00 5.10e+01 1.88e+02  1.13e-01 1.60e-03     10s
  89  -2.03199701e+02 -3.88088038e+00  3.14e+01 4.85e+00  1.30e+02  1.92e+02  3.64e+00 5.21e+01 1.92e+02  1.12e-01 1.56e-03     10s
  90  -2.05333710e+02 -3.88088038e+00  3.16e+01 4.84e+00  1.30e+02  1.96e+02  3.65e+00 5.32e+01 1.96e+02  1.11e-01 1.51e-03     10s
  91  -2.07457532e+02 -3.88088038e+00  3.19e+01 4.83e+00  1.30e+02  2.00e+02  3.67e+00 5.44e+01 2.00e+02  1.09e-01 1.48e-03     11s
  92  -2.09566783e+02 -3.88088038e+00  3.21e+01 4.82e+00  1.29e+02  2.04e+02  3.69e+00 5.55e+01 2.04e+02  1.08e-01 1.44e-03     11s
  93  -2.11665527e+02 -3.88088038e+00  3.24e+01 4.82e+00  1.29e+02  2.08e+02  3.70e+00 5.66e+01 2.08e+02  1.07e-01 1.40e-03     11s
  94  -2.13753619e+02 -3.88088038e+00  3.26e+01 4.81e+00  1.29e+02  2.13e+02  3.72e+00 5.78e+01 2.13e+02  1.05e-01 1.37e-03     11s
  95  -2.15828842e+02 -3.88088038e+00  3.29e+01 4.81e+00  1.29e+02  2.17e+02  3.74e+00 5.89e+01 2.17e+02  1.04e-01 1.33e-03     12s
  96  -2.17891074e+02 -3.88088038e+00  3.31e+01 4.80e+00  1.29e+02  2.21e+02  3.75e+00 6.01e+01 2.21e+02  1.03e-01 1.30e-03     12s
  97  -2.19944298e+02 -3.88088038e+00  3.33e+01 4.79e+00  1.29e+02  2.25e+02  3.77e+00 6.13e+01 2.25e+02  1.02e-01 1.27e-03     12s
  98  -2.21986346e+02 -3.88088038e+00  3.36e+01 4.79e+00  1.28e+02  2.30e+02  3.79e+00 6.25e+01 2.30e+02  1.01e-01 1.24e-03     13s
